Cluster,timestamp
5,2022-10-31
5,2022-10-31
8,2022-10-31
5,2022-10-31
7,2022-10-31
5,2022-10-31
3,2022-10-31
7,2022-10-31
5,2022-10-31
3,2022-10-31
5,2022-10-31
1,2022-10-31
9,2022-11-30
2,2022-11-30
2,2022-11-30
5,2022-11-30
8,2022-11-30
9,2022-11-30
2,2022-11-30
1,2022-11-30
2,2022-11-30
1,2022-11-30
1,2022-11-30
3,2022-11-30
3,2022-11-30
9,2022-11-30
2,2022-11-30
2,2022-11-30
9,2022-11-30
8,2022-11-30
8,2022-11-30
5,2022-11-30
5,2022-11-30
5,2022-11-30
3,2022-11-30
5,2022-11-30
5,2022-11-30
2,2022-11-30
5,2022-11-30
1,2022-11-30
1,2022-11-30
1,2022-11-30
2,2022-11-30
2,2022-11-30
2,2022-11-30
2,2022-11-30
1,2022-11-30
4,2022-11-30
5,2022-11-30
2,2022-11-30
2,2022-11-30
1,2022-11-30
1,2022-11-30
5,2022-11-30
3,2022-11-30
5,2022-11-30
7,2022-11-30
4,2022-11-30
5,2022-11-30
8,2022-11-30
6,2022-11-30
5,2022-11-30
7,2022-11-30
8,2022-11-30
6,2022-12-31
2,2022-12-31
2,2022-12-31
3,2022-12-31
5,2022-12-31
8,2022-12-31
7,2022-12-31
2,2022-12-31
1,2022-12-31
1,2022-12-31
3,2022-12-31
2,2022-12-31
2,2022-12-31
2,2022-12-31
2,2022-12-31
3,2022-12-31
5,2022-12-31
5,2022-12-31
2,2022-12-31
5,2022-12-31
5,2022-12-31
5,2022-12-31
5,2022-12-31
1,2022-12-31
9,2022-12-31
3,2022-12-31
2,2022-12-31
2,2022-12-31
1,2022-12-31
1,2022-12-31
7,2022-12-31
1,2022-12-31
3,2022-12-31
5,2022-12-31
3,2022-12-31
2,2022-12-31
2,2022-12-31
3,2022-12-31
1,2022-12-31
1,2022-12-31
8,2022-12-31
1,2022-12-31
8,2022-12-31
3,2022-12-31
5,2022-12-31
4,2022-12-31
5,2022-12-31
5,2022-12-31
7,2022-12-31
5,2022-12-31
